Alias,Women Count,Men Count,Total Voters,Turnout,Perc Turnout,GD Share of the turnout,GD vote count,GD share of the perc turnout,
00.01.01,1474,1037,2511,1527,0.61,0.41192,629,0.25049781,
00.01.02,841,584,1425,923,0.65,0.38028,351,0.246315789,
00.01.03,653,506,1159,710,0.61,0.44366,315,0.271786022,
00.01.04,884,653,1537,931,0.61,0.39635,369,0.240078074,
00.01.05,858,655,1513,1085,0.72,0.41382,449,0.296761401,
00.01.06,807,600,1407,861,0.61,0.37398,322,0.228855721,
00.01.07,911,665,1576,1011,0.64,0.37191,376,0.23857868,
00.01.08,894,605,1499,950,0.63,0.39368,374,0.249499666,
00.01.09,859,623,1482,931,0.63,0.34694,323,0.217948718,
00.01.10,869,606,1475,1017,0.69,0.37365,380,0.257627119,
00.01.11,1448,1080,2528,1534,0.61,0.42829,657,0.259889241,
00.01.12,745,493,1238,783,0.63,0.4636,363,0.293214863,
00.01.13,678,485,1163,775,0.67,0.36774,285,0.24505589,
00.01.14,788,600,1388,909,0.65,0.37954,345,0.248559078,
00.01.15,834,592,1426,937,0.66,0.36393,341,0.239130435,
00.01.16,1396,1065,2461,1652,0.67,0.41223,681,0.276716782,
00.01.17,1314,987,2301,1478,0.64,0.3843,568,0.246849196,
00.01.18,824,617,1441,906,0.63,0.32892,298,0.206800833,
00.01.19,802,573,1375,924,0.67,0.39286,363,0.264,
00.01.20,832,602,1434,1048,0.73,0.38645,405,0.282426778,
00.01.21,790,555,1345,926,0.69,0.37149,344,0.255762082,
00.01.22,908,621,1529,1092,0.71,0.36905,403,0.263570961,
00.01.23,1279,952,2231,1471,0.66,0.41672,613,0.27476468,
00.01.24,1269,1025,2294,1458,0.64,0.41427,604,0.263295554,
00.01.25,972,707,1679,1183,0.7,0.42096,498,0.296605122,
00.01.26,782,571,1353,978,0.72,0.36196,354,0.261640798,
00.01.27,772,553,1325,942,0.71,0.3949,372,0.280754717,
00.01.28,875,598,1473,999,0.68,0.4024,402,0.272912424,
00.01.29,1051,787,1838,1241,0.68,0.45447,564,0.306855277,
00.01.30,606,601,1207,840,0.7,0.49643,417,0.345484673,
00.01.31,765,672,1437,1043,0.73,0.56759,592,0.411969381,
00.01.32,952,840,1792,1232,0.69,0.66802,823,0.459263393,
00.01.33,760,587,1347,892,0.66,0.47085,420,0.311804009,
00.01.34,164,187,351,218,0.62,0.45413,99,0.282051282,
00.02.01,847,638,1485,1115,0.75,0.38924,434,0.292255892,
00.02.02,813,625,1438,1048,0.73,0.39218,411,0.28581363,
00.02.03,943,671,1614,1147,0.71,0.42633,489,0.302973978,
00.02.04,913,661,1574,1129,0.72,0.38175,431,0.273824651,
00.02.05,967,715,1682,1269,0.75,0.42474,539,0.320451843,
00.02.06,802,543,1345,981,0.73,0.3894,382,0.28401487,
00.02.07,623,501,1124,815,0.73,0.37669,307,0.273131673,
00.02.08,961,714,1675,1110,0.66,0.39369,437,0.260895522,
00.02.09,757,589,1346,919,0.68,0.40696,374,0.277860327,
00.02.10,816,551,1367,1000,0.73,0.407,407,0.29773226,
00.02.11,768,557,1325,967,0.73,0.37332,361,0.27245283,
00.02.12,802,588,1390,1040,0.75,0.40769,424,0.305035971,
00.02.13,897,680,1577,1115,0.71,0.40179,448,0.284083703,
00.02.14,978,703,1681,1211,0.72,0.42857,519,0.308744795,
00.02.15,1013,788,1801,1271,0.71,0.40441,514,0.285397002,
00.02.16,723,512,1235,894,0.72,0.41275,369,0.298785425,
00.02.17,739,512,1251,918,0.73,0.40196,369,0.294964029,
00.02.18,914,664,1578,1107,0.7,0.40108,444,0.281368821,
00.02.19,991,734,1725,1006,0.58,0.44036,443,0.256811594,
00.02.20,947,687,1634,1219,0.75,0.37572,458,0.280293758,
00.02.21,883,674,1557,1112,0.71,0.39209,436,0.28002569,
00.02.22,1366,1024,2390,1524,0.64,0.41601,634,0.265271967,
00.02.23,711,499,1210,886,0.73,0.43341,384,0.317355372,
00.02.24,986,742,1728,1165,0.67,0.33476,390,0.225694444,
00.02.25,972,716,1688,1192,0.71,0.40185,479,0.283767773,
00.02.26,990,758,1748,1099,0.63,0.43676,480,0.274599542,
00.02.27,1367,1009,2376,1354,0.57,0.32422,439,0.18476431,
00.02.28,842,694,1536,1038,0.68,0.53179,552,0.359375,
00.02.29,553,472,1025,734,0.72,0.5545,407,0.397073171,
00.02.30,1395,1080,2475,1482,0.6,0.4197,622,0.251313131,
00.02.31,1116,953,2069,1363,0.66,0.50404,687,0.332044466,
00.02.32,1389,1155,2544,1698,0.67,0.34217,581,0.228380503,
00.02.33,811,598,1409,1032,0.73,0.33915,350,0.248403123,
00.02.34,828,581,1409,962,0.68,0.34304,330,0.234208659,
00.02.35,767,562,1329,924,0.7,0.33874,313,0.235515425,
00.02.36,813,506,1319,946,0.72,0.40275,381,0.288855193,
00.02.37,955,645,1600,1144,0.72,0.38112,436,0.2725,
00.02.38,779,490,1269,858,0.68,0.36364,312,0.245862884,
00.02.39,973,615,1588,1100,0.69,0.37818,416,0.261964736,
00.02.40,1019,737,1756,1215,0.69,0.36543,444,0.25284738,
00.02.41,721,542,1263,869,0.69,0.3786,329,0.260490895,
00.02.42,754,545,1299,876,0.67,0.38242,335,0.257890685,
00.02.43,772,526,1298,903,0.7,0.39092,353,0.271956857,
00.02.44,790,540,1330,920,0.69,0.35652,328,0.246616541,
00.02.45,1286,862,2148,1467,0.68,0.35855,526,0.244878957,
00.02.46,1019,672,1691,1152,0.68,0.34375,396,0.234180958,
00.02.47,886,550,1436,940,0.65,0.38298,360,0.250696379,
00.02.48,872,626,1498,1076,0.72,0.39684,427,0.285046729,
00.02.49,743,544,1287,865,0.67,0.39653,343,0.266511267,
00.02.50,1418,958,2376,1549,0.65,0.27954,433,0.182239057,
00.02.51,1215,863,2078,1441,0.69,0.24497,353,0.16987488,
00.02.52,832,596,1428,973,0.68,0.4111,400,0.280112045,
00.02.53,1244,845,2089,1467,0.7,0.3122,458,0.219243657,
00.02.54,1074,802,1876,1312,0.7,0.3468,455,0.242537313,
00.02.55,673,467,1140,774,0.68,0.35271,273,0.239473684,
00.02.56,807,562,1369,941,0.69,0.34006,320,0.233747261,
00.02.57,916,742,1658,1255,0.76,0.37052,465,0.280458384,
00.02.58,966,700,1666,1153,0.69,0.36947,426,0.255702281,
00.02.59,832,553,1385,1037,0.75,0.36933,383,0.276534296,
