Row Labels,Sum of votes
00.01.01,1527
00.01.02,923
00.01.03,710
00.01.04,931
00.01.05,1085
00.01.06,861
00.01.07,1011
00.01.08,950
00.01.09,931
00.01.10,1017
00.01.11,1534
00.01.12,783
00.01.13,775
00.01.14,909
00.01.15,937
00.01.16,1652
00.01.17,1478
00.01.18,906
00.01.19,924
00.01.20,1048
00.01.21,926
00.01.22,1092
00.01.23,1471
00.01.24,1458
00.01.25,1183
00.01.26,978
00.01.27,942
00.01.28,999
00.01.29,1241
00.01.30,840
00.01.31,1043
00.01.32,1232
00.01.33,892
00.01.34,218
00.02.01,1115
00.02.02,1048
00.02.03,1147
00.02.04,1129
00.02.05,1269
00.02.06,981
00.02.07,815
00.02.08,1110
00.02.09,919
00.02.10,1000
00.02.11,967
00.02.12,1040
00.02.13,1115
00.02.14,1211
00.02.15,1271
00.02.16,894
00.02.17,918
00.02.18,1107
00.02.19,1006
00.02.20,1219
00.02.21,1112
00.02.22,1524
00.02.23,886
00.02.24,1165
00.02.25,1192
00.02.26,1099
00.02.27,1354
00.02.28,1038
00.02.29,734
00.02.30,1482
00.02.31,1363
00.02.32,1698
00.02.33,1032
00.02.34,962
00.02.35,924
00.02.36,946
00.02.37,1144
00.02.38,858
00.02.39,1100
00.02.40,1215
00.02.41,869
00.02.42,876
00.02.43,903
00.02.44,920
00.02.45,1467
00.02.46,1152
00.02.47,940
00.02.48,1076
00.02.49,865
00.02.50,1549
00.02.51,1441
00.02.52,973
00.02.53,1467
00.02.54,1312
00.02.55,774
00.02.56,941
00.02.57,1255
00.02.58,1153
00.02.59,1037
00.02.60,1077
00.02.61,928
00.02.62,1761
00.02.63,937
00.02.64,403
00.02.65,927
00.02.66,948
00.02.67,1786
00.02.68,984
00.02.69,1136
00.02.70,412
00.03.01,1263
00.03.02,1070
00.03.03,1073
00.03.04,917
00.03.05,1111
00.03.06,1093
00.03.07,978
00.03.08,966
00.03.09,863
00.03.10,994
00.03.11,840
00.03.12,916
00.03.13,937
00.03.14,922
00.03.15,1062
00.03.16,935
00.03.17,1130
00.03.18,938
00.03.19,985
00.03.20,801
00.03.21,931
00.03.22,993
00.03.23,989
00.03.24,969
00.03.25,990
00.03.26,990
00.03.27,787
00.03.28,974
00.03.29,868
00.03.30,955
00.03.31,1046
00.03.32,951
00.03.33,1148
00.03.34,955
00.03.35,1526
00.03.36,994
00.03.37,1602
00.03.38,827
00.03.39,973
00.03.40,989
00.03.41,1075
00.03.42,1012
00.03.43,834
00.03.44,1071
00.03.45,1020
00.03.46,950
00.03.47,998
00.03.48,1054
00.03.49,1028
00.03.50,1096
00.03.51,1163
00.03.52,785
00.03.53,1119
00.03.54,1004
00.03.55,923
00.03.56,972
00.03.57,1088
00.03.58,1061
00.03.59,1020
00.03.60,881
00.03.61,941
00.03.62,1165
00.03.63,1105
00.03.64,1881
00.03.65,697
00.03.66,932
00.03.67,980
00.03.68,1119
00.03.69,887
00.03.70,827
00.03.71,1026
00.03.72,2229
00.03.73,1179
00.03.74,1038
00.03.75,1113
00.03.76,2133
00.03.77,799
00.03.78,861
00.03.79,1117
00.03.80,983
00.03.81,962
00.03.82,944
00.03.83,1078
00.03.84,1336
00.03.85,881
00.03.86,869
00.03.87,1119
00.03.88,909
00.03.89,1723
00.03.90,1076
00.03.91,1605
00.04.01,685
00.04.02,1478
00.04.03,1302
00.04.04,1267
00.04.05,1252
00.04.06,1344
00.04.07,840
00.04.08,1163
00.04.09,908
00.04.10,1012
00.04.11,1137
00.04.12,940
00.04.13,1424
00.04.14,1418
00.04.15,1114
00.04.16,694
00.04.17,1521
00.04.18,789
00.04.19,818
00.04.20,941
00.04.21,503
00.05.01,1543
00.05.02,1416
00.05.03,1415
00.05.04,849
00.05.05,652
00.05.06,1426
00.05.07,851
00.05.08,877
00.05.09,854
00.05.10,895
00.05.11,1574
00.05.12,1613
00.05.13,1414
00.05.14,970
00.05.15,1022
00.05.16,859
00.05.17,910
00.05.18,1453
00.05.19,863
00.05.20,847
00.05.21,849
00.05.22,1083
00.05.23,888
00.05.24,881
00.05.25,1240
00.05.26,933
00.05.27,941
00.05.28,873
00.05.29,913
00.05.30,1211
00.05.31,1471
00.05.32,1315
00.05.33,636
00.05.34,1380
00.05.35,442
00.05.36,786
00.05.37,714
00.05.38,1012
00.05.39,1276
00.05.40,1356
00.05.41,976
00.05.42,1646
00.05.43,1497
00.05.44,1020
