,3,4,5,6,8,9,10,12,16,17,20,21,23,25,26,27,36,41,
საზღვარგარეთი,0.13%,33.26%,19.90%,0.34%,1.70%,14.90%,1.53%,0.08%,0.83%,0.10%,0.17%,0.03%,0.12%,9.01%,0.03%,0.34%,4.05%,13.48%,100.00%
01.მთაწმინდა,0.12%,15.41%,7.02%,0.23%,2.98%,14.50%,0.93%,0.07%,0.57%,0.10%,0.23%,0.14%,0.13%,10.91%,0.04%,0.20%,4.91%,41.51%,100.00%
02.ვაკე,0.10%,16.12%,6.74%,0.25%,2.54%,15.93%,0.78%,0.10%,0.49%,0.13%,0.19%,0.11%,0.14%,12.03%,0.07%,0.21%,6.03%,38.03%,100.00%
03.საბურთალო,0.10%,15.52%,6.87%,0.25%,2.93%,14.27%,1.02%,0.05%,0.56%,0.12%,0.21%,0.11%,0.14%,11.84%,0.05%,0.20%,5.96%,39.77%,100.00%
04.კრწანისი,0.16%,12.86%,9.66%,0.25%,2.77%,9.81%,0.90%,0.07%,0.53%,0.18%,0.17%,0.15%,0.11%,9.11%,0.06%,0.20%,4.16%,48.86%,100.00%
05.ისანი,0.17%,13.48%,8.47%,0.29%,3.12%,10.63%,1.07%,0.12%,0.83%,0.19%,0.24%,0.24%,0.12%,10.69%,0.08%,0.23%,4.72%,45.31%,100.00%
06.სამგორი,0.23%,13.34%,8.99%,0.39%,3.42%,10.03%,1.29%,0.11%,0.95%,0.20%,0.26%,0.17%,0.14%,10.89%,0.07%,0.25%,4.33%,44.92%,100.00%
07.ჩუღურეთი,0.14%,13.91%,7.25%,0.28%,2.93%,12.55%,1.05%,0.08%,0.62%,0.15%,0.23%,0.12%,0.16%,10.68%,0.09%,0.22%,5.28%,44.26%,100.00%
08.დიდუბე,0.10%,14.93%,6.82%,0.25%,2.97%,12.65%,1.04%,0.08%,0.59%,0.14%,0.19%,0.12%,0.11%,11.65%,0.06%,0.24%,5.98%,42.08%,100.00%
09.ნაძალადევი,0.18%,14.18%,6.80%,0.30%,3.57%,11.94%,1.32%,0.09%,0.93%,0.18%,0.25%,0.14%,0.13%,11.39%,0.08%,0.24%,5.65%,42.63%,100.00%
10.გლდანი,0.18%,15.70%,7.83%,0.34%,3.64%,11.22%,1.38%,0.08%,0.95%,0.19%,0.24%,0.14%,0.16%,11.57%,0.06%,0.23%,5.31%,40.76%,100.00%
11.საგარეჯო,0.14%,4.85%,11.78%,0.35%,2.59%,6.66%,0.72%,0.08%,0.58%,0.10%,0.18%,0.08%,0.04%,4.44%,0.07%,0.21%,1.57%,65.54%,100.00%
12.გურჯაანი,0.24%,8.05%,9.34%,0.44%,2.72%,8.41%,0.65%,0.07%,0.71%,0.11%,0.22%,0.07%,0.05%,4.93%,0.05%,0.15%,1.52%,62.28%,100.00%
13.სიღნაღი,0.14%,6.26%,11.05%,0.45%,2.83%,8.68%,0.69%,0.09%,0.44%,0.17%,0.15%,0.09%,0.06%,4.45%,0.06%,0.18%,1.70%,62.51%,100.00%
14.დედოფლისწყარო,0.17%,5.42%,9.89%,0.17%,2.82%,8.00%,0.55%,0.09%,0.40%,0.17%,0.23%,0.10%,0.05%,3.78%,0.06%,0.14%,1.67%,66.31%,100.00%
15.ლაგოდეხი,0.26%,6.79%,14.61%,0.48%,1.59%,7.34%,0.43%,0.05%,0.52%,0.09%,0.15%,0.09%,0.07%,3.52%,0.06%,0.17%,1.46%,62.33%,100.00%
16.ყვარელი,0.20%,6.72%,14.73%,0.54%,3.72%,8.95%,0.50%,0.08%,0.50%,0.14%,0.20%,0.10%,0.07%,4.53%,0.06%,0.21%,1.57%,57.16%,100.00%
17.თელავი,0.20%,8.19%,15.56%,0.44%,3.01%,8.90%,0.87%,0.07%,0.70%,0.10%,0.14%,0.11%,0.05%,4.65%,0.05%,0.15%,2.00%,54.83%,100.00%
18.ახმეტა,0.21%,10.10%,14.48%,0.51%,2.40%,7.85%,0.62%,0.06%,0.56%,0.12%,0.18%,0.07%,0.06%,4.29%,0.06%,0.26%,1.92%,56.25%,100.00%
19.თიანეთი,0.25%,9.20%,6.13%,0.38%,4.14%,7.75%,0.87%,0.11%,0.54%,0.12%,0.15%,0.03%,0.05%,6.04%,0.08%,0.26%,2.08%,61.82%,100.00%
20.რუსთავი,0.24%,14.14%,11.24%,0.40%,3.19%,10.30%,1.22%,0.10%,1.19%,0.23%,0.30%,0.10%,0.12%,10.59%,0.07%,0.22%,4.93%,41.41%,100.00%
21.გარდაბანი,0.21%,4.65%,13.01%,0.21%,2.16%,4.65%,0.53%,0.07%,0.47%,0.08%,0.19%,0.05%,0.06%,4.17%,0.02%,0.14%,1.35%,67.96%,100.00%
22.მარნეული,0.11%,1.64%,12.50%,0.16%,0.43%,3.83%,0.06%,0.03%,0.07%,0.04%,0.06%,0.10%,0.05%,1.00%,0.01%,0.05%,0.24%,79.62%,100.00%
23.ბოლნისი,0.20%,2.56%,7.75%,0.16%,1.19%,3.29%,0.19%,0.03%,0.17%,0.04%,0.08%,0.04%,0.04%,1.90%,0.02%,0.06%,0.85%,81.43%,100.00%
24.დმანისი,0.15%,2.26%,14.98%,0.19%,1.08%,3.12%,0.21%,0.06%,0.20%,0.06%,0.05%,0.04%,0.02%,1.50%,0.01%,0.08%,0.61%,75.38%,100.00%
25.წალკა,0.05%,8.83%,10.68%,0.13%,0.55%,2.54%,0.10%,0.03%,0.18%,0.09%,0.11%,0.08%,1.38%,2.65%,0.05%,0.09%,0.92%,71.55%,100.00%
26.თეთრიწყარო,0.19%,6.04%,8.20%,0.26%,2.03%,8.30%,0.52%,0.07%,0.46%,0.11%,0.19%,0.10%,0.12%,4.88%,0.07%,0.25%,1.29%,66.93%,100.00%
27.მცხეთა,0.16%,8.77%,8.10%,0.32%,3.07%,8.46%,1.03%,0.09%,0.57%,0.15%,0.21%,0.07%,0.09%,7.90%,0.06%,0.22%,2.63%,58.11%,100.00%
28.დუშეთი,0.27%,8.63%,5.10%,0.33%,4.16%,9.46%,1.67%,0.06%,0.66%,0.10%,0.15%,0.07%,0.08%,7.60%,0.07%,0.19%,2.16%,59.23%,100.00%
29.ყაზბეგი,0.14%,3.78%,2.68%,0.14%,4.29%,6.66%,0.63%,0.14%,0.20%,0.03%,0.26%,0.03%,0.00%,5.99%,0.03%,0.43%,2.02%,72.54%,100.00%
30.კასპი,0.13%,7.64%,9.73%,0.35%,3.12%,8.96%,0.72%,0.07%,0.54%,0.11%,0.17%,0.08%,0.04%,6.25%,0.09%,0.17%,2.14%,59.70%,100.00%
32.გორი,0.17%,8.80%,9.75%,0.39%,3.13%,8.73%,0.71%,0.09%,0.69%,0.15%,0.23%,0.08%,0.07%,7.65%,0.07%,0.21%,2.24%,56.86%,100.00%
